FILE,AFFINITY_KCAL_PER_MOL
docked_ligand/mol_028_out.pdbqt,4.858
docked_ligand/mol_030_out.pdbqt,4.488
docked_ligand/mol_067_out.pdbqt,4.705
docked_ligand/mol_073_out.pdbqt,4.549
docked_ligand/mol_186_out.pdbqt,4.342
docked_ligand/mol_187_out.pdbqt,4.880
docked_ligand/mol_219_out.pdbqt,4.288
docked_ligand/mol_264_out.pdbqt,4.007
docked_ligand/mol_278_out.pdbqt,4.596
docked_ligand/mol_293_out.pdbqt,4.420
docked_ligand/mol_294_out.pdbqt,4.252
docked_ligand/mol_307_out.pdbqt,4.108
docked_ligand/mol_308_out.pdbqt,4.381
docked_ligand/mol_012_out.pdbqt,5.570
docked_ligand/mol_036_out.pdbqt,5.745
docked_ligand/mol_037_out.pdbqt,5.959
docked_ligand/mol_040_out.pdbqt,5.692
docked_ligand/mol_077_out.pdbqt,5.272
docked_ligand/mol_122_out.pdbqt,5.324
docked_ligand/mol_267_out.pdbqt,5.034
docked_ligand/mol_305_out.pdbqt,5.526
docked_ligand/mol_339_out.pdbqt,5.986
docked_ligand/mol_355_out.pdbqt,5.184
docked_ligand/mol_362_out.pdbqt,5.017
docked_ligand/mol_374_out.pdbqt,5.562
docked_ligand/mol_379_out.pdbqt,5.767
docked_ligand/mol_017_out.pdbqt,6.566
docked_ligand/mol_019_out.pdbqt,6.867
docked_ligand/mol_041_out.pdbqt,6.000
docked_ligand/mol_092_out.pdbqt,6.793
docked_ligand/mol_268_out.pdbqt,6.871
docked_ligand/mol_279_out.pdbqt,6.003
docked_ligand/mol_360_out.pdbqt,6.317
docked_ligand/mol_372_out.pdbqt,6.276
docked_ligand/mol_419_out.pdbqt,6.982
docked_ligand/mol_421_out.pdbqt,6.499
docked_ligand/mol_013_out.pdbqt,7.173
docked_ligand/mol_075_out.pdbqt,7.301
docked_ligand/mol_096_out.pdbqt,7.354
docked_ligand/mol_271_out.pdbqt,7.967
docked_ligand/mol_302_out.pdbqt,7.912
docked_ligand/mol_348_out.pdbqt,7.335
docked_ligand/mol_361_out.pdbqt,7.440
docked_ligand/mol_376_out.pdbqt,7.389
docked_ligand/mol_104_out.pdbqt,8.154
docked_ligand/mol_148_out.pdbqt,8.930
docked_ligand/mol_224_out.pdbqt,8.581
docked_ligand/mol_377_out.pdbqt,8.008
docked_ligand/mol_380_out.pdbqt,8.531
docked_ligand/mol_420_out.pdbqt,8.106
docked_ligand/mol_309_out.pdbqt,9.763
docked_ligand/mol_311_out.pdbqt,9.695
docked_ligand/mol_350_out.pdbqt,9.988
docked_ligand/mol_061_out.pdbqt,10.633
docked_ligand/mol_093_out.pdbqt,10.663
docked_ligand/mol_147_out.pdbqt,10.484
docked_ligand/mol_304_out.pdbqt,10.376
docked_ligand/mol_016_out.pdbqt,11.851
docked_ligand/mol_146_out.pdbqt,11.058
docked_ligand/mol_347_out.pdbqt,11.384
docked_ligand/mol_357_out.pdbqt,11.357
docked_ligand/mol_399_out.pdbqt,11.225
docked_ligand/mol_095_out.pdbqt,12.781
docked_ligand/mol_269_out.pdbqt,12.514
docked_ligand/mol_303_out.pdbqt,12.076
docked_ligand/mol_378_out.pdbqt,12.366
docked_ligand/mol_398_out.pdbqt,12.971
docked_ligand/mol_039_out.pdbqt,13.840
docked_ligand/mol_359_out.pdbqt,13.181
docked_ligand/mol_272_out.pdbqt,14.938
docked_ligand/mol_038_out.pdbqt,15.024
docked_ligand/mol_094_out.pdbqt,15.557
docked_ligand/mol_145_out.pdbqt,15.445
docked_ligand/mol_306_out.pdbqt,15.679
docked_ligand/mol_324_out.pdbqt,15.468
docked_ligand/mol_097_out.pdbqt,16.316
docked_ligand/mol_119_out.pdbqt,16.708
docked_ligand/mol_162_out.pdbqt,17.840
docked_ligand/mol_418_out.pdbqt,17.841
docked_ligand/mol_121_out.pdbqt,19.185
docked_ligand/mol_397_out.pdbqt,19.721
docked_ligand/mol_354_out.pdbqt,20.834
docked_ligand/mol_393_out.pdbqt,20.754
docked_ligand/mol_401_out.pdbqt,20.385
docked_ligand/mol_098_out.pdbqt,21.812
docked_ligand/mol_144_out.pdbqt,23.997
docked_ligand/mol_351_out.pdbqt,23.451
docked_ligand/mol_101_out.pdbqt,24.952
docked_ligand/mol_160_out.pdbqt,25.264
docked_ligand/mol_396_out.pdbqt,25.535
docked_ligand/mol_014_out.pdbqt,27.135
