smiles,node_id,num_expansions,rollout_num,score,pharmacophore,Q_value,num_reactions,reaction_1_chemical_space,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles,building_block_1_3_id,building_block_1_3_smiles
CCOC(=O)c1ccc2ccccc2c1Oc1cc(F)c(C(=O)OC)cc1[N+](=O)[O-],161753,1,3729,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,468114,CCOC(=O)c1ccc2ccccc2c1[U],486374,COC(=O)c1cc([N+](=O)[O-])c(O[U])cc1F,,
CCOC(=O)c1ccc(S(=O)(=O)N2CCC(c3nc(-c4cccc(C(=O)OCC)c4)no3)CC2)cc1,161767,0,3735,0.001533810679324463,0.001533810679324463,0.0,1,custom,270196a,207872,CCOC(=O)c1cccc(C(N=[U])=NO[Np])c1,213625,CCOC(=O)c1ccc(S(=O)(=O)N2CCC(C(=[U])[Np])CC2)cc1,,
CCOC(=O)c1cccc(NC(=O)C[N]([Np])N=NOc2ccc(C(=O)OC)cc2C(=O)OC)c1,161789,0,3745,0.001533810679324463,0.001533810679324463,0.0,1,custom,7a,289436,CCOC(=O)c1cccc(NC(=O)CN([Np])N=N[U])c1,486438,COC(=O)c1ccc(O[U])c(C(=O)OC)c1,,
CCOC(=O)c1cccc2c(Oc3ccc(C(=O)Oc4ccc(OC)cc4)cc3)cccc12,161840,1,3768,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,243059,CCOC(=O)c1cccc2c([U])cccc12,487002,COc1ccc(OC(=O)c2ccc(O[U])cc2)cc1,,
CCOC(=O)c1ccc(S(=O)(=O)NCc2nc(-c3ccccc3C(=O)OCC)no2)cc1,161849,0,3772,0.001533810679324463,0.001533810679324463,0.0,1,custom,270196a,207876,CCOC(=O)c1ccccc1C(N=[U])=NO[Np],213626,CCOC(=O)c1ccc(S(=O)(=O)NCC(=[U])[Np])cc1,,
CCOC(=O)c1ccccc1Cc1noc(-c2cc(C(=O)OC)cc(N(C)S(C)(=O)=O)c2)n1,161854,0,3774,0.001533810679324463,0.001533810679324463,0.0,1,custom,270196a,207877,CCOC(=O)c1ccccc1CC(N=[U])=NO[Np],214231,COC(=O)c1cc(C(=[U])[Np])cc(N(C)S(C)(=O)=O)c1,,
CCOC(=O)c1ccccc1NC(=O)C[N]([Np])N=NS(=O)(=O)c1ccc(Cl)c(C(=O)OC)c1,161877,0,3783,0.001533810679324463,0.001533810679324463,0.0,1,custom,7a,289440,CCOC(=O)c1ccccc1NC(=O)CN([Np])N=N[U],287314,COC(=O)c1cc(S(=O)(=O)[U])ccc1Cl,,
CCOC(=O)c1cnc(N)c(Sc2nc3c(F)cc(C(=O)OC)cc3s2)c1,161913,1,3800,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,454597,CCOC(=O)c1cnc(N)c(S[U])c1,469467,COC(=O)c1cc(F)c2nc([U])sc2c1,,
CCOC(=O)c1cnn(-c2ccc(Br)cc2)c1Nc1nc2ccc(C(=O)OC)cc2s1,161921,1,3804,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,55628,CCOC(=O)c1cnn(-c2ccc(Br)cc2)c1N[U],469806,COC(=O)c1ccc2nc([U])sc2c1,,
CCOC(=O)c1cnn(-c2ccc(Cl)cc2)c1Nc1cc2c(O)ncnc2cc1F,161925,1,3806,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,55630,CCOC(=O)c1cnn(-c2ccc(Cl)cc2)c1N[U],478963,Oc1ncnc2cc(F)c([U])cc12,,
CCOC(=O)c1cc(-c2ccc(-n3ncc(C(=O)OCC)c3N)cc2)c2c(c1)nnn2C,161939,1,3813,0.001533810679324463,0.001533810679324463,0.001533810679324463,1,custom,7a,267228,CCOC(=O)c1cnn(-c2ccc([U])cc2)c1N,468002,CCOC(=O)c1cc([U])c2c(c1)nnn2C,,
